texto,etiqueta,label
"Según el INEI, el 35% de hogares no tiene agua potable #22",logos,2
"Según el INEI, el 35% de hogares no tiene agua potable #238",logos,2
"Según el INEI, el 35% de hogares no tiene agua potable #241",logos,2
"Según el INEI, el 35% de hogares no tiene agua potable #161",logos,2
Ellos siempre han estado en contra del pueblo #162,framing_binario,1
"Según el INEI, el 35% de hogares no tiene agua potable #179",logos,2
"Según el INEI, el 35% de hogares no tiene agua potable #127",logos,2
"Según el INEI, el 35% de hogares no tiene agua potable #14",logos,2
Juntos lograremos lo imposible con esperanza #110,retorica_vacia,3
"No le crean, es un ignorante sin estudios #137",ad_hominem,0
Juntos lograremos lo imposible con esperanza #62,retorica_vacia,3
"No le crean, es un ignorante sin estudios #77",ad_hominem,0
"Según el INEI, el 35% de hogares no tiene agua potable #137",logos,2
Juntos lograremos lo imposible con esperanza #224,retorica_vacia,3
Juntos lograremos lo imposible con esperanza #189,retorica_vacia,3
Juntos lograremos lo imposible con esperanza #150,retorica_vacia,3
Ellos siempre han estado en contra del pueblo #31,framing_binario,1
Juntos lograremos lo imposible con esperanza #134,retorica_vacia,3
Juntos lograremos lo imposible con esperanza #12,retorica_vacia,3
Ellos siempre han estado en contra del pueblo #70,framing_binario,1
"Según el INEI, el 35% de hogares no tiene agua potable #50",logos,2
"No le crean, es un ignorante sin estudios #175",ad_hominem,0
Ellos siempre han estado en contra del pueblo #122,framing_binario,1
"Según el INEI, el 35% de hogares no tiene agua potable #28",logos,2
"No le crean, es un ignorante sin estudios #211",ad_hominem,0
"No le crean, es un ignorante sin estudios #236",ad_hominem,0
"No le crean, es un ignorante sin estudios #102",ad_hominem,0
Juntos lograremos lo imposible con esperanza #237,retorica_vacia,3
Juntos lograremos lo imposible con esperanza #153,retorica_vacia,3
Juntos lograremos lo imposible con esperanza #198,retorica_vacia,3
Ellos siempre han estado en contra del pueblo #97,framing_binario,1
"No le crean, es un ignorante sin estudios #140",ad_hominem,0
"Según el INEI, el 35% de hogares no tiene agua potable #122",logos,2
Ellos siempre han estado en contra del pueblo #250,framing_binario,1
Ellos siempre han estado en contra del pueblo #121,framing_binario,1
"No le crean, es un ignorante sin estudios #199",ad_hominem,0
"Según el INEI, el 35% de hogares no tiene agua potable #188",logos,2
"Según el INEI, el 35% de hogares no tiene agua potable #85",logos,2
Juntos lograremos lo imposible con esperanza #152,retorica_vacia,3
"No le crean, es un ignorante sin estudios #60",ad_hominem,0
Ellos siempre han estado en contra del pueblo #79,framing_binario,1
"No le crean, es un ignorante sin estudios #97",ad_hominem,0
Ellos siempre han estado en contra del pueblo #63,framing_binario,1
Juntos lograremos lo imposible con esperanza #225,retorica_vacia,3
Ellos siempre han estado en contra del pueblo #50,framing_binario,1
Ellos siempre han estado en contra del pueblo #28,framing_binario,1
Juntos lograremos lo imposible con esperanza #175,retorica_vacia,3
"Según el INEI, el 35% de hogares no tiene agua potable #102",logos,2
Ellos siempre han estado en contra del pueblo #190,framing_binario,1
Juntos lograremos lo imposible con esperanza #88,retorica_vacia,3
"Según el INEI, el 35% de hogares no tiene agua potable #71",logos,2
Juntos lograremos lo imposible con esperanza #130,retorica_vacia,3
Ellos siempre han estado en contra del pueblo #12,framing_binario,1
"Según el INEI, el 35% de hogares no tiene agua potable #79",logos,2
"No le crean, es un ignorante sin estudios #24",ad_hominem,0
"No le crean, es un ignorante sin estudios #31",ad_hominem,0
"Según el INEI, el 35% de hogares no tiene agua potable #118",logos,2
"No le crean, es un ignorante sin estudios #11",ad_hominem,0
"No le crean, es un ignorante sin estudios #222",ad_hominem,0
Juntos lograremos lo imposible con esperanza #71,retorica_vacia,3
Ellos siempre han estado en contra del pueblo #47,framing_binario,1
"No le crean, es un ignorante sin estudios #55",ad_hominem,0
"Según el INEI, el 35% de hogares no tiene agua potable #43",logos,2
"No le crean, es un ignorante sin estudios #210",ad_hominem,0
"Según el INEI, el 35% de hogares no tiene agua potable #105",logos,2
"Según el INEI, el 35% de hogares no tiene agua potable #193",logos,2
"Según el INEI, el 35% de hogares no tiene agua potable #163",logos,2
Juntos lograremos lo imposible con esperanza #117,retorica_vacia,3
"No le crean, es un ignorante sin estudios #71",ad_hominem,0
"Según el INEI, el 35% de hogares no tiene agua potable #44",logos,2
"No le crean, es un ignorante sin estudios #108",ad_hominem,0
Ellos siempre han estado en contra del pueblo #244,framing_binario,1
"Según el INEI, el 35% de hogares no tiene agua potable #91",logos,2
"Según el INEI, el 35% de hogares no tiene agua potable #242",logos,2
Ellos siempre han estado en contra del pueblo #43,framing_binario,1
Ellos siempre han estado en contra del pueblo #40,framing_binario,1
"Según el INEI, el 35% de hogares no tiene agua potable #153",logos,2
"No le crean, es un ignorante sin estudios #40",ad_hominem,0
"Según el INEI, el 35% de hogares no tiene agua potable #90",logos,2
Ellos siempre han estado en contra del pueblo #58,framing_binario,1
"Según el INEI, el 35% de hogares no tiene agua potable #180",logos,2
"No le crean, es un ignorante sin estudios #67",ad_hominem,0
Ellos siempre han estado en contra del pueblo #26,framing_binario,1
